book_id,goodreads_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,title,language_code,average_rating,ratings_count,image_url,rating_counts,tags,ratings
3656,381704,98,61,1401359604,9781401359610.0,['Plum Sykes'],2004.0,Bergdorf Blondes,en-US,3.26,23795,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 2020, 'ratings_2': 4428, 'ratings_3': 8669, 'ratings_4': 6144, 'ratings_5': 4561}","[{'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11557, 'tag_name': 'favorites'}, {'tag_id': 8055, 'tag_name': 'contemporary'}]","[{'user': {'user_id': 237, 'user_name': 'David Smith'}, 'rating': 1}, {'user': {'user_id': 364, 'user_name': 'Christina Calderon'}, 'rating': 1}, {'user': {'user_id': 399, 'user_name': 'Stephen Pugh'}, 'rating': 2}]"
1485,21704,434,93,446698873,9780446698870.0,['James Ellroy'],1987.0,The Black Dahlia,en-US,3.75,61412,https://images.gr-assets.com/books/1387048173m/21704.jpg,"{'ratings_1': 1999, 'ratings_2': 4999, 'ratings_3': 17641, 'ratings_4': 23340, 'ratings_5': 17425}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 20939, 'tag_name': 'mystery'}, {'tag_id': 8517, 'tag_name': 'crime'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 21672, 'tag_name': 'noir'}]","[{'user': {'user_id': 232, 'user_name': 'Thomas Johnson'}, 'rating': 4}, {'user': {'user_id': 247, 'user_name': 'Greg Johnson'}, 'rating': 4}]"
3650,6748,574,46,316925284,9780316925280.0,['David Foster Wallace'],1996.0,A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,en-GB,4.28,23272,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 266, 'ratings_2': 656, 'ratings_3': 3045, 'ratings_4': 10238, 'ratings_5': 12558}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 21689, 'tag_name': 'non-fiction'}, {'tag_id': 10891, 'tag_name': 'essays'}, {'tag_id': 11557, 'tag_name': 'favorites'}]","[{'user': {'user_id': 332, 'user_name': 'Richard Robinson'}, 'rating': 5}]"
1923,4143,731,33,316779423,9780316779420.0,['David Sedaris'],1994.0,Barrel Fever: Stories and Essays,en-US,3.78,44679,https://images.gr-assets.com/books/1453273003m/4143.jpg,"{'ratings_1': 902, 'ratings_2': 3333, 'ratings_3': 12737, 'ratings_4': 16577, 'ratings_5': 12191}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 15048, 'tag_name': 'humor'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 21689, 'tag_name': 'non-fiction'}, {'tag_id': 10891, 'tag_name': 'essays'}]","[{'user': {'user_id': 9, 'user_name': 'Lori Aguilar'}, 'rating': 4}, {'user': {'user_id': 18, 'user_name': 'Dale Peterson'}, 'rating': 4}, {'user': {'user_id': 257, 'user_name': 'Jason Baker'}, 'rating': 4}, {'user': {'user_id': 247, 'user_name': 'Greg Johnson'}, 'rating': 3}, {'user': {'user_id': 287, 'user_name': 'Brandon Burke'}, 'rating': 5}, {'user': {'user_id': 344, 'user_name': 'Ryan Charles'}, 'rating': 5}, {'user': {'user_id': 356, 'user_name': 'Hailey Hicks'}, 'rating': 4}, {'user': {'user_id': 90, 'user_name': 'Elizabeth Cook'}, 'rating': 4}, {'user': {'user_id': 101, 'user_name': 'Erika Dillon'}, 'rating': 3}, {'user': {'user_id': 175, 'user_name': 'Blake Morris'}, 'rating': 4}]"
2760,297627,797,36,1563898586,9781563898590.0,"['Alan Moore', ""Kevin O'Neill""]",2000.0,"The League of Extraordinary Gentlemen, Vol. I",eng,3.93,40404,https://images.gr-assets.com/books/1327894724m/297627.jpg,"{'ratings_1': 687, 'ratings_2': 2255, 'ratings_3': 9526, 'ratings_4': 16088, 'ratings_5': 13262}","[{'tag_id': 13561, 'tag_name': 'graphic-novels'}, {'tag_id': 11305, 'tag_name': 'fantasy'}, {'tag_id': 8782, 'tag_name': 'cómics'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}]","[{'user': {'user_id': 340, 'user_name': 'Ashlee Moore'}, 'rating': 2}]"
239,8908,817,137,307346609,9780307346600.0,['Max Brooks'],2006.0,World War Z: An Oral History of the Zombie War,en-US,4.01,312969,https://images.gr-assets.com/books/1386328204m/8908.jpg,"{'ratings_1': 7680, 'ratings_2': 19887, 'ratings_3': 65570, 'ratings_4': 121537, 'ratings_5': 130475}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 14821, 'tag_name': 'horror'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 11557, 'tag_name': 'favorites'}, {'tag_id': 33268, 'tag_name': 'zombies'}]","[{'user': {'user_id': 135, 'user_name': 'Brian Fernandez'}, 'rating': 5}, {'user': {'user_id': 69, 'user_name': 'Paul Palmer'}, 'rating': 2}]"
1056,535441,818,49,1400049628,9781400049620.0,['Max Brooks'],2004.0,The Zombie Survival Guide: Complete Protection from the Living Dead,eng,3.86,82535,https://images.gr-assets.com/books/1320562270m/535441.jpg,"{'ratings_1': 1709, 'ratings_2': 6009, 'ratings_3': 22592, 'ratings_4': 28960, 'ratings_5': 27567}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 33268, 'tag_name': 'zombies'}, {'tag_id': 14821, 'tag_name': 'horror'}, {'tag_id': 11743, 'tag_name': 'fiction'}]","[{'user': {'user_id': 69, 'user_name': 'Paul Palmer'}, 'rating': 4}]"
4215,29187,852,48,786931582,9780786931580.0,"['Margaret Weis', 'Tracy Hickman']",1986.0,Time of the Twins,eng,4.13,24671,https://images.gr-assets.com/books/1390667790m/29187.jpg,"{'ratings_1': 142, 'ratings_2': 937, 'ratings_3': 5249, 'ratings_4': 9846, 'ratings_5': 11090}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11305, 'tag_name': 'fantasy'}, {'tag_id': 9866, 'tag_name': 'dragonlance'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 11557, 'tag_name': 'favorites'}]","[{'user': {'user_id': 149, 'user_name': 'Anthony Palmer'}, 'rating': 5}]"
1727,357,1096,82,671742515,9780671742520.0,['Douglas Adams'],1988.0,The Long Dark Tea-Time of the Soul,en-US,4.05,59276,https://images.gr-assets.com/books/1388257271m/357.jpg,"{'ratings_1': 393, 'ratings_2': 2464, 'ratings_3': 13614, 'ratings_4': 24400, 'ratings_5': 22898}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 11305, 'tag_name': 'fantasy'}, {'tag_id': 26837, 'tag_name': 'science-fiction'}, {'tag_id': 26771, 'tag_name': 'sci-fi'}]","[{'user': {'user_id': 100, 'user_name': 'Christie Rivera'}, 'rating': 2}, {'user': {'user_id': 158, 'user_name': 'Justin Thomas'}, 'rating': 5}, {'user': {'user_id': 299, 'user_name': 'Rebecca Ingram'}, 'rating': 4}, {'user': {'user_id': 287, 'user_name': 'Brandon Burke'}, 'rating': 5}, {'user': {'user_id': 395, 'user_name': 'Sandra Holmes'}, 'rating': 3}]"
4301,76889,1140,8,802130720,9780802130720.0,['E.E. Cummings'],1954.0,100 Selected Poems by e. e. Cummings,en-US,4.32,22346,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 281, 'ratings_2': 520, 'ratings_3': 2902, 'ratings_4': 6855, 'ratings_5': 12080}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 23831, 'tag_name': 'poetry'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 11557, 'tag_name': 'favorites'}, {'tag_id': 7457, 'tag_name': 'classics'}]","[{'user': {'user_id': 206, 'user_name': 'George Sanchez'}, 'rating': 5}]"
